location,bedroom,bathroom,area_m2,price_usd,Neighborhood
Runda,2.0,1.0,2.0,55000.0,"Upper Hill,Langata"
Runda,3.0,3.0,3.0,55000.0,"kinoo 87/Uthiru,Kinoo,Kabete"
Runda,3.0,2.0,3.0,56000.0,"Thindigua,Kiambu Road,Kiambu Road"
Runda,3.0,4.0,3.0,56000.0,"Thindigua,Thindigua"
Runda,4.0,2.0,4.0,57750.0,"Thika Road,Kahawa,Roysambu"
Westlands,3.0,2.0,3.0,58500.0,"Chinga Dam Apartments,Iregi Road,Parklands,Westlands"
Westlands,3.0,3.0,125.0,60000.0,"Loresho,Westlands"
Runda,3.0,2.0,3.0,60000.0,"Naivasha Road,Dagoretti North"
Kilimani,1.0,1.0,1.0,60000.0,"Kilimani,Dagoretti North"
Kilimani,1.0,1.0,1.0,60000.0,"George Pardmore lane,Kilimani,Dagoretti North"
Runda,3.0,2.0,3.0,60000.0,"Jamhuri,Ngong"
Lavington,2.0,2.0,2.0,60000.0,"Lavington,Dagoretti North"
Kilimani,2.0,1.0,2.0,60000.0,"1,Riara,Kilimani,Dagoretti North"
Runda,2.0,2.0,2.0,60000.0,"Riara Road,Dagoretti North"
Kileleshwa,3.0,2.0,3.0,60000.0,"Kasuku Center,Kileleshwa,Dagoretti North"
Kileleshwa,2.0,2.0,2.0,60000.0,"kileleshwa,kileleshwa,Kileleshwa,Dagoretti North"
Kilimani,2.0,2.0,2.0,60000.0,"kilimani,kilimani,Kilimani,Dagoretti North"
Lavington,2.0,2.0,2.0,60000.0,"lavington,lavington,Lavington,Dagoretti North"
Kileleshwa,1.0,1.0,51.0,60000.0,"Mandera Road,Kileleshwa,Dagoretti North"
Westlands,2.0,2.0,2.0,60000.0,"Loresho,Loresho,Westlands"
Westlands,3.0,2.0,129.0,60000.0,"Loresho,Westlands"
Westlands,2.0,2.0,2.0,60000.0,"Westlands Area,Westlands"
Kileleshwa,2.0,1.0,2.0,60000.0,"Kileleshwa,Dagoretti North"
Runda,3.0,2.0,8000.0,60000.0,"Thindigua,Thindigua"
Runda,3.0,3.0,3.0,60000.0,"KIAMBU ROAD,Ruaka,Kiambaa"
Westlands,2.0,2.0,2.0,60000.0,"21 05 04,02 RA,Waiyaki Way,Westlands"
Westlands,3.0,2.0,3.0,60000.0,"1,Crescent Road,Parklands,Westlands"
Westlands,3.0,2.0,3.0,60000.0,"Crescent Road,Parklands,Westlands"
Kileleshwa,2.0,2.0,110.0,60000.0,"Kileleshwa,Dagoretti North"
Lavington,3.0,2.0,3.0,60000.0,"Lavington,Dagoretti North"
Westlands,3.0,2.0,3.0,60000.0,"Rhapta Road,Westlands"
Runda,2.0,2.0,150.0,60000.0,"Karen,Langata"
Westlands,3.0,3.0,3.0,60000.0,"Waiyaki Way,Westlands"
Kileleshwa,3.0,2.0,3.0,60000.0,"Kileleshwa,Dagoretti North"
Runda,4.0,4.0,4.0,60000.0,"Kiambu Road,Kiambu Road"
Runda,2.0,1.0,2.0,60000.0,"Karen,Langata"
Westlands,2.0,2.0,2.0,60000.0,"Westlands Area,Westlands"
Runda,3.0,2.0,3.0,60000.0,"Ngara,Starehe"
Westlands,1.0,1.0,1.0,60000.0,"Rhapta Road,Westlands"
Runda,2.0,2.0,89.0,60000.0,"Ngong Road,Ngong Road"
Runda,3.0,2.0,2500.0,60000.0,"Near citymall,Doshi road nyali,Ziwa La Ngombe,Nyali"
Westlands,2.0,2.0,2.0,60000.0,"Loresho,Westlands"
Kileleshwa,2.0,2.0,2.0,60000.0,"Kileleshwa,Dagoretti North"
Kilimani,2.0,2.0,2.0,60000.0,"Kilimani,Dagoretti North"
Runda,3.0,2.0,120.0,60000.0,"Fourways Junction,Kiambu Road,Kiambu Road"
Westlands,1.0,1.0,1.0,60000.0,"Off Rhapta Road,Westlands Area,Westlands"
